call_id,loan_id,call_date,outcome,agent_notes
CALL0000414,LOAN0001374,2026-06-10,Connected,Customer requested extension
CALL0000415,LOAN0003064,2026-04-02,No answer,Income delayed
CALL0000416,LOAN0002683,2026-02-02,Connected,Could not reach
CALL0000417,LOAN0001296,2025-09-20,Wrong number,Customer requested extension
CALL0000418,LOAN0002179,2026-11-20,No answer,Will pay this week
CALL0000419,LOAN0002829,2026-04-23,No answer,Disputed amount
CALL0000420,LOAN0002941,2026-04-25,No answer,Disputed amount
CALL0000421,LOAN0000765,2026-01-08,Promise to pay,Will pay this week
CALL0000422,LOAN0001316,2026-05-03,No answer,Will pay this week
CALL0000423,LOAN0001573,2026-11-09,Promise to pay,Could not reach
CALL0000424,LOAN0001471,2025-12-20,Promise to pay,Income delayed
CALL0000425,LOAN0003387,2026-06-16,No answer,Customer requested extension
CALL0000426,LOAN0002692,2026-12-06,Wrong number,Disputed amount
CALL0000427,LOAN0001530,2025-12-04,No answer,Will pay this week
CALL0000428,LOAN0002840,2026-03-02,Connected,Will pay this week
CALL0000429,LOAN0002322,2026-10-15,Connected,Could not reach
CALL0000430,LOAN0003090,2025-10-18,Connected,Will pay this week
CALL0000431,LOAN0003252,2026-07-04,No answer,Could not reach
CALL0000432,LOAN0000539,2026-06-20,No answer,Could not reach
CALL0000433,LOAN0002776,2026-10-23,Wrong number,Income delayed
CALL0000434,LOAN0000450,2026-01-03,Promise to pay,Income delayed
CALL0000435,LOAN0002128,2026-01-04,Promise to pay,Could not reach
CALL0000436,LOAN0002973,2026-05-19,Promise to pay,Customer requested extension
CALL0000437,LOAN0001270,2025-09-08,Connected,Disputed amount
CALL0000438,LOAN0001654,2026-11-25,Promise to pay,Will pay this week
CALL0000439,LOAN0003330,2026-06-04,Dispute raised,Income delayed
CALL0000440,LOAN0001784,2025-12-11,Connected,Will pay this week
CALL0000441,LOAN0000183,2026-08-09,Dispute raised,Could not reach
CALL0000442,LOAN0001223,2026-10-06,Promise to pay,Customer requested extension
CALL0000443,LOAN0000174,2026-09-07,Connected,Disputed amount
CALL0000444,LOAN0002151,2026-09-17,No answer,Customer requested extension
CALL0000445,LOAN0003391,2025-12-22,Connected,Customer requested extension
CALL0000446,LOAN0000358,2026-03-11,No answer,Income delayed
CALL0000447,LOAN0001550,2026-04-06,No answer,Customer requested extension
CALL0000448,LOAN0001572,2026-04-23,Dispute raised,Will pay this week
CALL0000449,LOAN0000030,2026-01-02,No answer,Customer requested extension
CALL0000450,LOAN0002937,2026-02-16,Promise to pay,Disputed amount
CALL0000451,LOAN0003167,2026-08-15,Connected,Disputed amount
CALL0000452,LOAN0001291,2026-09-14,No answer,Disputed amount
CALL0000453,LOAN0001849,2026-09-03,Wrong number,Customer requested extension
CALL0000454,LOAN0001088,2026-02-23,No answer,Income delayed
CALL0000455,LOAN0000726,2025-12-22,Connected,Will pay this week
CALL0000456,LOAN0000787,2027-02-18,Connected,Customer requested extension
CALL0000457,LOAN0000783,2026-05-21,Promise to pay,Disputed amount
CALL0000458,LOAN0000718,2026-05-21,Promise to pay,Income delayed
CALL0000459,LOAN0002358,2026-09-14,Connected,Income delayed
CALL0000460,LOAN0002421,2026-01-23,No answer,Will pay this week
CALL0000461,LOAN0002577,2026-04-05,Promise to pay,Could not reach
CALL0000462,LOAN0002903,2026-09-11,No answer,Could not reach
CALL0000463,LOAN0002638,2026-08-19,No answer,Will pay this week
CALL0000464,LOAN0002893,2026-01-24,Promise to pay,Income delayed
CALL0000465,LOAN0000310,2026-10-20,Promise to pay,Disputed amount
CALL0000466,LOAN0002505,2026-07-02,Connected,Could not reach
CALL0000467,LOAN0002819,2026-01-18,No answer,Will pay this week
CALL0000468,LOAN0002080,2026-11-16,No answer,Will pay this week
CALL0000469,LOAN0002178,2026-03-17,Promise to pay,Customer requested extension
CALL0000470,LOAN0000122,2026-01-20,No answer,Will pay this week
CALL0000471,LOAN0001639,2026-08-13,Connected,Customer requested extension
CALL0000472,LOAN0002569,2025-12-21,Connected,Disputed amount
CALL0000473,LOAN0000784,2027-01-25,Wrong number,Could not reach
CALL0000474,LOAN0003140,2027-01-19,Connected,Disputed amount
CALL0000475,LOAN0002361,2026-03-09,No answer,Will pay this week
CALL0000476,LOAN0001938,2026-12-25,No answer,Disputed amount
CALL0000477,LOAN0001423,2026-09-18,Dispute raised,Will pay this week
CALL0000478,LOAN0001628,2026-01-23,Dispute raised,Customer requested extension
CALL0000479,LOAN0002478,2026-10-24,Wrong number,Could not reach
CALL0000480,LOAN0001587,2026-05-20,No answer,Income delayed
CALL0000481,LOAN0002331,2026-09-03,Connected,Disputed amount
CALL0000482,LOAN0000725,2026-04-18,Promise to pay,Will pay this week
CALL0000483,LOAN0000578,2026-06-11,No answer,Will pay this week
CALL0000484,LOAN0000751,2026-05-21,No answer,Could not reach
CALL0000485,LOAN0001553,2026-06-06,Connected,Income delayed
CALL0000486,LOAN0000114,2026-03-11,Wrong number,Customer requested extension
CALL0000487,LOAN0000952,2026-06-21,No answer,Income delayed
CALL0000488,LOAN0002694,2026-04-06,Connected,Could not reach
CALL0000489,LOAN0001071,2026-01-20,No answer,Customer requested extension
CALL0000490,LOAN0002188,2025-08-18,Connected,Will pay this week
CALL0000491,LOAN0001647,2026-05-24,Connected,Will pay this week
CALL0000492,LOAN0000712,2026-05-14,Connected,Disputed amount
CALL0000493,LOAN0001827,2026-05-10,No answer,Income delayed
CALL0000494,LOAN0000808,2026-05-17,No answer,Will pay this week
CALL0000495,LOAN0001213,2026-01-11,Connected,Income delayed
CALL0000496,LOAN0001618,2026-05-16,No answer,Customer requested extension
CALL0000497,LOAN0000464,2026-04-12,Promise to pay,Could not reach
CALL0000498,LOAN0002460,2025-12-13,Connected,Customer requested extension
CALL0000499,LOAN0001703,2026-10-25,No answer,Will pay this week
CALL0000500,LOAN0002960,2026-04-16,Connected,Could not reach
CALL0000501,LOAN0001164,2027-01-19,Promise to pay,Disputed amount
CALL0000502,LOAN0000963,2026-03-09,No answer,Could not reach
CALL0000503,LOAN0002883,2027-02-23,Promise to pay,Customer requested extension
CALL0000504,LOAN0001898,2026-07-08,Promise to pay,Could not reach
CALL0000505,LOAN0002834,2026-04-13,Promise to pay,Customer requested extension
CALL0000506,LOAN0000048,2026-02-12,No answer,Income delayed
CALL0000507,LOAN0000380,2026-04-19,No answer,Customer requested extension
CALL0000508,LOAN0002654,2026-05-08,Connected,Customer requested extension
CALL0000509,LOAN0002679,2026-11-23,Wrong number,Customer requested extension
CALL0000510,LOAN0002287,2026-04-24,No answer,Will pay this week
CALL0000511,LOAN0002854,2026-08-15,Promise to pay,Customer requested extension
CALL0000512,LOAN0002817,2026-01-19,Connected,Will pay this week
CALL0000513,LOAN0002671,2026-06-22,No answer,Disputed amount
CALL0000514,LOAN0000976,2027-02-09,No answer,Could not reach
CALL0000515,LOAN0000378,2026-06-09,Connected,Customer requested extension
CALL0000516,LOAN0002451,2026-05-07,Connected,Disputed amount
CALL0000517,LOAN0002144,2026-07-17,Dispute raised,Could not reach
CALL0000518,LOAN0002843,2026-08-15,Connected,Disputed amount
CALL0000519,LOAN0001970,2026-07-20,No answer,Disputed amount
CALL0000520,LOAN0002718,2026-09-25,Connected,Will pay this week
CALL0000521,LOAN0001579,2026-09-17,No answer,Disputed amount
CALL0000522,LOAN0000074,2026-07-15,Connected,Could not reach
CALL0000523,LOAN0001728,2026-04-11,Connected,Will pay this week
CALL0000524,LOAN0000479,2026-12-04,No answer,Disputed amount
CALL0000525,LOAN0000392,2026-08-15,No answer,Will pay this week
CALL0000526,LOAN0001836,2026-05-06,No answer,Could not reach
CALL0000527,LOAN0000763,2025-11-08,Connected,Will pay this week
CALL0000528,LOAN0002706,2026-10-10,No answer,Customer requested extension
CALL0000529,LOAN0001422,2026-09-11,Promise to pay,Will pay this week
CALL0000530,LOAN0000848,2026-11-03,Wrong number,Customer requested extension
CALL0000531,LOAN0002362,2025-12-09,No answer,Could not reach
CALL0000532,LOAN0001317,2026-02-17,Connected,Could not reach
CALL0000533,LOAN0003237,2026-09-13,Wrong number,Could not reach
CALL0000534,LOAN0003339,2026-05-19,Connected,Disputed amount
CALL0000535,LOAN0001801,2026-09-15,Connected,Income delayed
CALL0000536,LOAN0000582,2026-07-14,No answer,Could not reach
CALL0000537,LOAN0002303,2026-05-05,No answer,Income delayed
CALL0000538,LOAN0002379,2026-02-19,Promise to pay,Disputed amount
CALL0000539,LOAN0003055,2026-05-11,Promise to pay,Disputed amount
CALL0000540,LOAN0001160,2026-07-03,Connected,Customer requested extension
CALL0000541,LOAN0002466,2026-09-13,No answer,Could not reach
CALL0000542,LOAN0002162,2026-01-11,Promise to pay,Could not reach
CALL0000543,LOAN0000660,2026-05-17,No answer,Disputed amount
CALL0000544,LOAN0000493,2026-12-03,Wrong number,Will pay this week
CALL0000545,LOAN0001154,2026-06-25,No answer,Could not reach
CALL0000546,LOAN0002753,2026-10-05,No answer,Disputed amount
CALL0000547,LOAN0001607,2026-08-17,No answer,Customer requested extension
CALL0000548,LOAN0002578,2026-03-09,Connected,Could not reach
CALL0000549,LOAN0002367,2026-02-05,Connected,Disputed amount
CALL0000550,LOAN0001164,2026-08-22,Connected,Will pay this week
CALL0000551,LOAN0002100,2026-09-20,No answer,Could not reach
CALL0000552,LOAN0002644,2026-04-07,No answer,Will pay this week
CALL0000553,LOAN0002717,2026-02-21,Promise to pay,Customer requested extension
CALL0000554,LOAN0003123,2026-01-12,Connected,Will pay this week
CALL0000555,LOAN0000763,2026-04-21,No answer,Customer requested extension
CALL0000556,LOAN0000498,2026-08-19,No answer,Could not reach
CALL0000557,LOAN0002104,2026-10-02,Connected,Disputed amount
CALL0000558,LOAN0002344,2025-11-11,Wrong number,Could not reach
CALL0000559,LOAN0002253,2026-04-05,Connected,Could not reach
CALL0000560,LOAN0002104,2026-11-02,No answer,Customer requested extension
CALL0000561,LOAN0002080,2026-12-18,Wrong number,Will pay this week
CALL0000562,LOAN0003021,2026-12-12,No answer,Customer requested extension
CALL0000563,LOAN0001770,2026-06-23,Connected,Customer requested extension
CALL0000564,LOAN0001158,2026-06-05,Promise to pay,Disputed amount
CALL0000565,LOAN0002153,2026-06-20,Promise to pay,Will pay this week
CALL0000566,LOAN0001561,2026-01-09,Promise to pay,Income delayed
CALL0000567,LOAN0002431,2026-10-22,Promise to pay,Disputed amount
CALL0000568,LOAN0000791,2026-07-14,Dispute raised,Disputed amount
CALL0000569,LOAN0000699,2026-06-11,Wrong number,Disputed amount
CALL0000570,LOAN0002296,2025-08-17,Connected,Disputed amount
CALL0000571,LOAN0003199,2026-08-23,Connected,Income delayed
CALL0000572,LOAN0003178,2026-08-21,Connected,Will pay this week
CALL0000573,LOAN0000163,2026-05-06,Connected,Disputed amount
CALL0000574,LOAN0001008,2026-10-24,Connected,Disputed amount
CALL0000575,LOAN0000405,2025-12-16,Connected,Income delayed
CALL0000576,LOAN0000814,2026-04-11,No answer,Income delayed
CALL0000577,LOAN0002144,2026-05-23,Wrong number,Income delayed
CALL0000578,LOAN0000858,2026-06-05,Promise to pay,Disputed amount
CALL0000579,LOAN0000438,2026-12-18,No answer,Will pay this week
CALL0000580,LOAN0002723,2026-01-21,Connected,Income delayed
CALL0000581,LOAN0002694,2026-03-10,Wrong number,Customer requested extension
CALL0000582,LOAN0001162,2025-08-11,Promise to pay,Customer requested extension
CALL0000583,LOAN0000983,2026-05-03,Dispute raised,Disputed amount
CALL0000584,LOAN0001759,2026-04-25,No answer,Income delayed
CALL0000585,LOAN0002822,2026-05-22,No answer,Will pay this week
CALL0000586,LOAN0002396,2025-12-16,Connected,Disputed amount
CALL0000587,LOAN0000076,2027-01-14,No answer,Could not reach
CALL0000588,LOAN0002971,2026-12-11,Connected,Customer requested extension
CALL0000589,LOAN0002706,2026-11-06,Wrong number,Disputed amount
CALL0000590,LOAN0000457,2026-07-11,Promise to pay,Income delayed
CALL0000591,LOAN0000384,2026-04-05,Connected,Disputed amount
CALL0000592,LOAN0001770,2026-11-04,Dispute raised,Will pay this week
CALL0000593,LOAN0002851,2026-05-07,Dispute raised,Will pay this week
CALL0000594,LOAN0001713,2026-08-24,Connected,Will pay this week
CALL0000595,LOAN0001656,2026-09-08,No answer,Will pay this week
CALL0000596,LOAN0000295,2026-05-23,Promise to pay,Customer requested extension
CALL0000597,LOAN0001439,2026-12-21,Promise to pay,Income delayed
CALL0000598,LOAN0001802,2025-12-02,No answer,Will pay this week
CALL0000599,LOAN0000355,2026-08-06,Connected,Could not reach
CALL0000600,LOAN0001069,2026-06-18,No answer,Disputed amount
CALL0000601,LOAN0002909,2025-12-25,No answer,Income delayed
CALL0000602,LOAN0002001,2026-09-09,Promise to pay,Disputed amount
CALL0000603,LOAN0002536,2026-07-07,Dispute raised,Disputed amount
CALL0000604,LOAN0002904,2026-04-23,Dispute raised,Will pay this week
CALL0000605,LOAN0001163,2026-12-17,No answer,Income delayed
CALL0000606,LOAN0002494,2026-09-14,Connected,Disputed amount
CALL0000607,LOAN0000310,2026-06-13,No answer,Income delayed
CALL0000608,LOAN0001930,2026-07-21,Dispute raised,Disputed amount
CALL0000609,LOAN0000447,2026-04-03,Promise to pay,Income delayed
CALL0000610,LOAN0002196,2026-10-08,Promise to pay,Disputed amount
CALL0000611,LOAN0002118,2026-06-20,No answer,Will pay this week
CALL0000612,LOAN0001038,2026-03-04,Connected,Could not reach
CALL0000613,LOAN0002793,2026-10-18,Dispute raised,Disputed amount
CALL0000614,LOAN0000621,2026-06-19,No answer,Income delayed
CALL0000615,LOAN0002348,2026-08-22,No answer,Income delayed
CALL0000616,LOAN0000645,2026-10-16,Promise to pay,Disputed amount
CALL0000617,LOAN0000758,2026-07-23,Connected,Disputed amount
CALL0000618,LOAN0001739,2026-01-12,Connected,Disputed amount
CALL0000619,LOAN0000799,2026-07-04,Connected,Could not reach
CALL0000620,LOAN0001961,2027-01-13,No answer,Could not reach
CALL0000621,LOAN0002361,2026-08-25,Promise to pay,Disputed amount
CALL0000622,LOAN0001920,2026-10-23,Promise to pay,Disputed amount
CALL0000623,LOAN0000401,2026-05-12,Connected,Could not reach
CALL0000624,LOAN0001011,2026-03-19,No answer,Customer requested extension
CALL0000625,LOAN0000745,2026-07-22,Connected,Income delayed
CALL0000626,LOAN0001971,2026-04-19,Connected,Will pay this week
CALL0000627,LOAN0001069,2026-09-22,Connected,Disputed amount
CALL0000628,LOAN0000645,2026-12-20,No answer,Will pay this week
CALL0000629,LOAN0001749,2026-10-15,Connected,Will pay this week
CALL0000630,LOAN0002606,2026-06-08,Dispute raised,Disputed amount
CALL0000631,LOAN0001556,2026-06-14,Promise to pay,Will pay this week
CALL0000632,LOAN0000873,2026-07-21,Dispute raised,Could not reach
CALL0000633,LOAN0000673,2026-08-14,Dispute raised,Will pay this week
CALL0000634,LOAN0003260,2026-05-18,No answer,Disputed amount
CALL0000635,LOAN0000702,2026-04-11,Connected,Customer requested extension
CALL0000636,LOAN0002844,2026-02-19,Promise to pay,Income delayed
CALL0000637,LOAN0002531,2026-05-24,Connected,Customer requested extension
CALL0000638,LOAN0003371,2025-10-13,Dispute raised,Income delayed
CALL0000639,LOAN0002115,2026-08-22,Connected,Will pay this week
CALL0000640,LOAN0000888,2026-07-10,Connected,Could not reach
CALL0000641,LOAN0000109,2026-04-23,Promise to pay,Income delayed
CALL0000642,LOAN0001785,2027-01-04,No answer,Will pay this week
CALL0000643,LOAN0001016,2026-10-16,Connected,Will pay this week
CALL0000644,LOAN0003114,2026-12-20,Promise to pay,Could not reach
CALL0000645,LOAN0001193,2027-02-23,No answer,Could not reach
CALL0000646,LOAN0003237,2026-11-20,Connected,Could not reach
CALL0000647,LOAN0002532,2026-08-09,No answer,Disputed amount
CALL0000648,LOAN0002000,2025-10-05,Connected,Disputed amount
CALL0000649,LOAN0002017,2026-05-25,Connected,Will pay this week
CALL0000650,LOAN0002675,2026-02-24,No answer,Could not reach
CALL0000651,LOAN0000352,2026-06-14,Connected,Could not reach
CALL0000652,LOAN0001855,2026-04-10,Connected,Will pay this week
CALL0000653,LOAN0002460,2026-03-19,No answer,Income delayed
CALL0000654,LOAN0002575,2026-07-11,Connected,Customer requested extension
CALL0000655,LOAN0003417,2026-02-18,Connected,Customer requested extension
CALL0000656,LOAN0001725,2026-04-17,No answer,Customer requested extension
CALL0000657,LOAN0001023,2026-07-07,Dispute raised,Could not reach
CALL0000658,LOAN0000281,2026-05-02,No answer,Customer requested extension
CALL0000659,LOAN0001069,2026-08-12,Connected,Could not reach
CALL0000660,LOAN0003048,2026-06-09,No answer,Will pay this week
CALL0000661,LOAN0002006,2026-03-09,Connected,Could not reach
CALL0000662,LOAN0001993,2026-07-03,Connected,Could not reach
CALL0000663,LOAN0003392,2026-02-16,Wrong number,Will pay this week
CALL0000664,LOAN0002206,2026-10-19,Connected,Will pay this week
CALL0000665,LOAN0000722,2025-10-19,Connected,Income delayed
CALL0000666,LOAN0000941,2025-12-09,No answer,Could not reach
CALL0000667,LOAN0002450,2027-01-09,No answer,Customer requested extension
CALL0000668,LOAN0001743,2026-10-20,Connected,Income delayed
CALL0000669,LOAN0000599,2026-07-25,Connected,Customer requested extension
CALL0000670,LOAN0002828,2026-07-04,Connected,Customer requested extension
CALL0000671,LOAN0001401,2026-02-04,No answer,Could not reach
CALL0000672,LOAN0002868,2026-09-23,Promise to pay,Customer requested extension
CALL0000673,LOAN0001794,2026-12-18,Connected,Disputed amount
CALL0000674,LOAN0002025,2026-08-07,Promise to pay,Customer requested extension
CALL0000675,LOAN0002815,2026-06-23,No answer,Will pay this week
CALL0000676,LOAN0000614,2026-12-25,Promise to pay,Could not reach
CALL0000677,LOAN0001192,2026-02-13,Promise to pay,Could not reach
CALL0000678,LOAN0000106,2026-04-15,Connected,Disputed amount
CALL0000679,LOAN0002562,2026-09-03,Connected,Could not reach
CALL0000680,LOAN0000121,2027-01-13,Connected,Could not reach
CALL0000681,LOAN0002961,2026-01-05,Connected,Disputed amount
CALL0000682,LOAN0003146,2025-11-24,Promise to pay,Will pay this week
CALL0000683,LOAN0001357,2026-10-03,No answer,Could not reach
CALL0000684,LOAN0002803,2026-09-07,No answer,Will pay this week
CALL0000685,LOAN0000645,2027-01-08,No answer,Income delayed
CALL0000686,LOAN0000346,2026-10-23,No answer,Income delayed
CALL0000687,LOAN0002034,2026-07-23,Wrong number,Could not reach
CALL0000688,LOAN0002768,2026-02-02,Wrong number,Will pay this week
CALL0000689,LOAN0001270,2025-10-25,No answer,Could not reach
CALL0000690,LOAN0002783,2026-04-14,No answer,Disputed amount
CALL0000691,LOAN0000798,2025-12-10,Wrong number,Will pay this week
CALL0000692,LOAN0000473,2026-06-12,Promise to pay,Will pay this week
CALL0000693,LOAN0003108,2026-07-24,Promise to pay,Will pay this week
CALL0000694,LOAN0000144,2026-03-09,Promise to pay,Could not reach
CALL0000695,LOAN0003371,2025-12-12,Promise to pay,Income delayed
CALL0000696,LOAN0001275,2026-05-16,Connected,Customer requested extension
CALL0000697,LOAN0001742,2026-04-09,Promise to pay,Customer requested extension
CALL0000698,LOAN0002127,2026-08-18,Promise to pay,Disputed amount
CALL0000699,LOAN0002743,2026-11-09,Promise to pay,Customer requested extension
CALL0000700,LOAN0000675,2026-04-09,Connected,Income delayed
CALL0000701,LOAN0001948,2025-11-12,Connected,Will pay this week
CALL0000702,LOAN0000961,2026-06-24,No answer,Income delayed
CALL0000703,LOAN0001199,2026-12-06,Promise to pay,Customer requested extension
CALL0000704,LOAN0002938,2026-11-18,Promise to pay,Disputed amount
CALL0000705,LOAN0002339,2026-07-03,Promise to pay,Customer requested extension
CALL0000706,LOAN0001344,2026-06-18,Connected,Disputed amount
CALL0000707,LOAN0002889,2025-11-22,Promise to pay,Will pay this week
CALL0000708,LOAN0003011,2026-10-10,No answer,Disputed amount
CALL0000709,LOAN0002775,2026-09-23,Connected,Will pay this week
CALL0000710,LOAN0002758,2026-10-02,Promise to pay,Disputed amount
CALL0000711,LOAN0000107,2025-12-14,Promise to pay,Could not reach
CALL0000712,LOAN0001402,2026-11-23,Connected,Will pay this week
CALL0000713,LOAN0000364,2026-12-24,Connected,Income delayed
CALL0000714,LOAN0002928,2025-10-22,Promise to pay,Could not reach
CALL0000715,LOAN0002134,2026-07-02,Connected,Could not reach
CALL0000716,LOAN0003212,2026-04-21,Connected,Will pay this week
CALL0000717,LOAN0000814,2026-10-07,Connected,Customer requested extension
CALL0000718,LOAN0001305,2026-08-21,No answer,Income delayed
CALL0000719,LOAN0003372,2026-07-03,Connected,Customer requested extension
CALL0000720,LOAN0002192,2026-05-19,Wrong number,Customer requested extension
CALL0000721,LOAN0000511,2026-07-15,Connected,Will pay this week
CALL0000722,LOAN0003165,2026-07-06,Connected,Disputed amount
CALL0000723,LOAN0001647,2026-08-08,No answer,Customer requested extension
CALL0000724,LOAN0000089,2026-04-10,Promise to pay,Customer requested extension
CALL0000725,LOAN0001494,2026-04-03,Promise to pay,Disputed amount
CALL0000726,LOAN0000198,2027-02-16,Connected,Customer requested extension
CALL0000727,LOAN0001581,2026-03-04,Connected,Will pay this week
CALL0000728,LOAN0000402,2026-06-13,No answer,Customer requested extension
CALL0000729,LOAN0002643,2026-07-14,No answer,Income delayed
CALL0000730,LOAN0001659,2026-07-25,Connected,Could not reach
CALL0000731,LOAN0000291,2026-10-05,Dispute raised,Income delayed
CALL0000732,LOAN0002388,2026-05-05,Promise to pay,Could not reach
CALL0000733,LOAN0000296,2026-01-19,No answer,Will pay this week
CALL0000734,LOAN0000272,2025-11-03,Connected,Customer requested extension
CALL0000735,LOAN0000583,2026-09-22,Promise to pay,Customer requested extension
CALL0000736,LOAN0003350,2026-01-17,Dispute raised,Disputed amount
CALL0000737,LOAN0000640,2026-10-12,Wrong number,Could not reach
CALL0000738,LOAN0000125,2026-01-14,No answer,Will pay this week
CALL0000739,LOAN0002350,2026-05-15,Wrong number,Income delayed
CALL0000740,LOAN0001023,2026-06-11,Dispute raised,Disputed amount
CALL0000741,LOAN0002112,2026-07-15,Promise to pay,Will pay this week
CALL0000742,LOAN0001406,2026-09-13,Dispute raised,Could not reach
CALL0000743,LOAN0001858,2027-02-10,Wrong number,Will pay this week
CALL0000744,LOAN0000677,2026-01-17,Connected,Disputed amount
CALL0000745,LOAN0000217,2026-06-04,Wrong number,Customer requested extension
CALL0000746,LOAN0001252,2026-03-15,Promise to pay,Customer requested extension
CALL0000747,LOAN0003353,2026-08-09,No answer,Could not reach
CALL0000748,LOAN0002505,2026-06-15,Wrong number,Customer requested extension
CALL0000749,LOAN0001765,2026-04-13,Connected,Customer requested extension
CALL0000750,LOAN0001442,2027-01-02,Promise to pay,Customer requested extension
CALL0000751,LOAN0001583,2026-07-19,Connected,Customer requested extension
CALL0000752,LOAN0000507,2026-10-10,No answer,Will pay this week
CALL0000753,LOAN0002217,2025-08-06,Connected,Income delayed
CALL0000754,LOAN0001804,2026-03-04,Wrong number,Customer requested extension
CALL0000755,LOAN0000079,2026-12-09,Wrong number,Could not reach
CALL0000756,LOAN0002910,2026-01-02,Promise to pay,Will pay this week
CALL0000757,LOAN0000205,2026-05-17,Connected,Will pay this week
CALL0000758,LOAN0001929,2026-10-13,No answer,Customer requested extension
CALL0000759,LOAN0001878,2026-11-20,Promise to pay,Could not reach
CALL0000760,LOAN0001125,2026-05-15,Wrong number,Disputed amount
CALL0000761,LOAN0002581,2026-02-23,Connected,Could not reach
CALL0000762,LOAN0002174,2025-12-17,No answer,Disputed amount
CALL0000763,LOAN0001020,2026-02-03,Promise to pay,Income delayed
CALL0000764,LOAN0002833,2026-05-14,Wrong number,Customer requested extension
CALL0000765,LOAN0001942,2026-05-10,Connected,Could not reach
CALL0000766,LOAN0002592,2026-12-14,Connected,Will pay this week
CALL0000767,LOAN0000807,2026-11-11,No answer,Will pay this week
CALL0000768,LOAN0000604,2026-07-13,Connected,Could not reach
CALL0000769,LOAN0002154,2026-05-13,Wrong number,Could not reach
CALL0000770,LOAN0002537,2026-09-15,Connected,Disputed amount
CALL0000771,LOAN0003155,2026-05-05,No answer,Could not reach
CALL0000772,LOAN0001357,2026-09-13,No answer,Will pay this week
CALL0000773,LOAN0001282,2025-09-21,Promise to pay,Will pay this week
CALL0000774,LOAN0001942,2026-06-21,No answer,Could not reach
CALL0000775,LOAN0002736,2026-08-22,Connected,Could not reach
CALL0000776,LOAN0002027,2026-03-03,Connected,Will pay this week
CALL0000777,LOAN0001532,2026-09-21,Promise to pay,Will pay this week
CALL0000778,LOAN0002474,2026-07-16,Connected,Will pay this week
CALL0000779,LOAN0001119,2026-01-20,No answer,Income delayed
CALL0000780,LOAN0002252,2026-03-11,No answer,Will pay this week
CALL0000781,LOAN0002532,2026-07-03,Connected,Customer requested extension
CALL0000782,LOAN0002526,2026-07-13,No answer,Disputed amount
CALL0000783,LOAN0002095,2026-08-16,Connected,Income delayed
CALL0000784,LOAN0000122,2026-08-07,Connected,Income delayed
CALL0000785,LOAN0002495,2026-11-15,No answer,Disputed amount
CALL0000786,LOAN0001720,2026-05-21,Promise to pay,Will pay this week
CALL0000787,LOAN0001571,2026-08-14,Promise to pay,Could not reach
CALL0000788,LOAN0003346,2025-09-14,No answer,Will pay this week
CALL0000789,LOAN0002950,2026-10-20,No answer,Income delayed
CALL0000790,LOAN0001793,2026-04-21,No answer,Could not reach
CALL0000791,LOAN0002943,2025-12-12,Promise to pay,Will pay this week
CALL0000792,LOAN0002862,2025-09-14,No answer,Could not reach
CALL0000793,LOAN0000046,2026-07-21,No answer,Could not reach
CALL0000794,LOAN0001245,2026-07-03,Connected,Disputed amount
CALL0000795,LOAN0002002,2026-06-11,No answer,Disputed amount
CALL0000796,LOAN0001391,2026-01-17,No answer,Disputed amount
CALL0000797,LOAN0000709,2026-12-05,Promise to pay,Customer requested extension
CALL0000798,LOAN0001839,2025-10-13,Connected,Income delayed
CALL0000799,LOAN0001288,2026-01-07,No answer,Could not reach
CALL0000800,LOAN0002702,2026-10-23,Connected,Will pay this week
CALL0000801,LOAN0000278,2026-05-22,Connected,Disputed amount
CALL0000802,LOAN0000688,2025-10-25,Promise to pay,Customer requested extension
CALL0000803,LOAN0002788,2026-01-12,Connected,Disputed amount
CALL0000804,LOAN0001002,2026-08-20,Promise to pay,Disputed amount
CALL0000805,LOAN0001807,2026-09-04,Connected,Income delayed
CALL0000806,LOAN0001384,2026-04-06,Connected,Could not reach
CALL0000807,LOAN0001417,2026-06-24,Wrong number,Disputed amount
CALL0000808,LOAN0002862,2026-02-09,Connected,Customer requested extension
CALL0000809,LOAN0003064,2026-02-13,Connected,Income delayed
CALL0000810,LOAN0000145,2026-03-10,Promise to pay,Income delayed
CALL0000811,LOAN0002675,2025-08-03,Promise to pay,Disputed amount
CALL0000812,LOAN0002202,2026-08-20,Connected,Disputed amount
CALL0000813,LOAN0001522,2026-03-09,No answer,Disputed amount
CALL0000814,LOAN0001333,2026-03-20,Promise to pay,Could not reach
CALL0000815,LOAN0000297,2026-05-18,Connected,Customer requested extension
CALL0000816,LOAN0000183,2026-07-13,Connected,Could not reach
CALL0000817,LOAN0002545,2025-10-13,Connected,Customer requested extension
CALL0000818,LOAN0000279,2026-08-11,No answer,Will pay this week
CALL0000819,LOAN0001824,2026-03-19,Connected,Income delayed
CALL0000820,LOAN0002548,2025-12-17,No answer,Income delayed
CALL0000821,LOAN0000374,2026-04-12,Connected,Customer requested extension
CALL0000822,LOAN0001541,2026-06-16,Connected,Income delayed
CALL0000823,LOAN0000547,2027-02-17,No answer,Customer requested extension
CALL0000824,LOAN0000813,2025-08-24,Promise to pay,Customer requested extension
CALL0000825,LOAN0000126,2026-07-22,Dispute raised,Customer requested extension
CALL0000826,LOAN0003245,2026-08-08,No answer,Income delayed
