loan_id,app_id,customer_id,disbursed_date,principal,tenure_months,interest_rate,risk_score
LOAN0000787,APP0001690,CUST000522,2026-06-09,62000,12,17.59,176.2
LOAN0000788,APP0001701,CUST000034,2026-03-26,78000,24,17.61,213.1
LOAN0000789,APP0001703,CUST000727,2026-04-08,195000,6,17.6,174.0
LOAN0000790,APP0001706,CUST000369,2026-04-19,46000,18,17.75,215.3
LOAN0000791,APP0001708,CUST000295,2026-01-19,61000,9,21.23,370.6
LOAN0000792,APP0001715,CUST002404,2025-10-04,42000,12,14.62,138.1
LOAN0000793,APP0001717,CUST002429,2026-06-13,35000,12,16.17,211.1
LOAN0000794,APP0001719,CUST002443,2025-12-15,57000,12,16.5,243.5
LOAN0000795,APP0001720,CUST001205,2026-05-31,161000,24,17.38,145.6
LOAN0000796,APP0001721,CUST000022,2026-04-11,112000,6,18.09,163.0
LOAN0000797,APP0001722,CUST001434,2025-10-28,75000,12,17.63,257.7
LOAN0000798,APP0001723,CUST002025,2025-08-02,17000,12,19.91,338.2
LOAN0000799,APP0001727,CUST001162,2026-06-26,118000,12,18.95,248.5
LOAN0000800,APP0001728,CUST001889,2026-04-15,80000,18,18.59,256.1
LOAN0000801,APP0001731,CUST001449,2026-02-11,153000,24,17.56,174.6
LOAN0000802,APP0001732,CUST000075,2026-01-09,29000,18,17.03,211.2
LOAN0000803,APP0001734,CUST001418,2026-05-01,41000,9,15.74,150.9
LOAN0000804,APP0001736,CUST000535,2026-01-28,44000,12,15.15,126.3
LOAN0000805,APP0001737,CUST001493,2026-05-14,129000,12,14.27,102.3
LOAN0000806,APP0001738,CUST001002,2026-01-24,67000,18,17.76,222.7
LOAN0000807,APP0001743,CUST001624,2026-04-30,80000,18,19.74,303.4
LOAN0000808,APP0001746,CUST000425,2025-11-21,148000,18,17.92,260.1
LOAN0000809,APP0001747,CUST000919,2025-09-04,85000,18,16.17,226.9
LOAN0000810,APP0001748,CUST001174,2025-12-17,69000,24,18.01,216.9
LOAN0000811,APP0001749,CUST001402,2025-09-23,56000,24,17.39,302.5
LOAN0000812,APP0001750,CUST001155,2026-04-17,81000,36,19.11,325.2
LOAN0000813,APP0001751,CUST001235,2025-07-10,26000,24,19.41,285.5
LOAN0000814,APP0001752,CUST001472,2026-02-10,82000,9,16.25,254.3
LOAN0000815,APP0001753,CUST000265,2025-11-15,47000,24,17.16,244.5
LOAN0000816,APP0001756,CUST002203,2025-11-17,110000,6,14.79,114.0
LOAN0000817,APP0001757,CUST000557,2026-05-03,66000,18,16.7,166.7
LOAN0000818,APP0001758,CUST000550,2025-10-25,58000,6,16.31,159.4
LOAN0000819,APP0001759,CUST000615,2026-05-27,125000,6,19.6,310.4
LOAN0000820,APP0001762,CUST002094,2026-01-12,28000,12,20.75,282.1
LOAN0000821,APP0001764,CUST000124,2026-04-20,36000,18,17.43,300.4
LOAN0000822,APP0001767,CUST001112,2025-10-18,27000,6,18.81,238.8
LOAN0000823,APP0001771,CUST001639,2026-05-12,49000,12,20.68,312.3
LOAN0000824,APP0001774,CUST000331,2025-10-08,47000,12,19.95,299.4
LOAN0000825,APP0001776,CUST001070,2025-09-29,11000,12,17.36,202.5
LOAN0000826,APP0001777,CUST001367,2026-06-14,73000,24,20.43,315.9
LOAN0000827,APP0001778,CUST002357,2026-05-12,65000,18,17.66,229.0
LOAN0000828,APP0001781,CUST001760,2026-03-14,123000,9,20.94,406.9
LOAN0000829,APP0001789,CUST000812,2026-05-06,79000,18,14.07,142.3
LOAN0000830,APP0001791,CUST002385,2026-02-16,141000,12,15.7,199.4
LOAN0000831,APP0001798,CUST000252,2025-11-25,74000,12,18.06,262.8
LOAN0000832,APP0001800,CUST000053,2026-04-07,155000,36,18.76,239.7
LOAN0000833,APP0001801,CUST001529,2025-10-25,156000,12,19.51,212.7
LOAN0000834,APP0001805,CUST001028,2025-09-16,34000,24,18.51,230.8
LOAN0000835,APP0001808,CUST001938,2025-09-23,38000,12,16.96,223.8
LOAN0000836,APP0001812,CUST001232,2025-10-28,85000,9,19.39,298.7
LOAN0000837,APP0001815,CUST000300,2025-10-23,34000,24,18.58,304.9
LOAN0000838,APP0001818,CUST002189,2026-05-14,81000,18,16.69,145.4
LOAN0000839,APP0001820,CUST001449,2025-11-15,51000,36,17.56,229.7
LOAN0000840,APP0001821,CUST000384,2025-10-31,61000,36,18.34,300.6
LOAN0000841,APP0001822,CUST002207,2026-02-06,81000,24,17.75,262.8
LOAN0000842,APP0001823,CUST001139,2026-05-26,130000,9,15.31,149.3
LOAN0000843,APP0001824,CUST001340,2025-10-27,64000,18,20.15,296.3
LOAN0000844,APP0001831,CUST000092,2025-12-08,33000,18,16.22,111.8
LOAN0000845,APP0001832,CUST001468,2026-03-28,68000,6,17.25,241.5
LOAN0000846,APP0001833,CUST002325,2026-05-10,28000,12,20.22,314.2
LOAN0000847,APP0001834,CUST000250,2026-04-13,95000,12,18.27,199.1
LOAN0000848,APP0001835,CUST000429,2026-05-05,103000,12,19.07,253.9
LOAN0000849,APP0001840,CUST002313,2026-02-01,157000,9,16.99,171.2
LOAN0000850,APP0001842,CUST000287,2026-02-19,129000,12,18.55,218.7
LOAN0000851,APP0001845,CUST001502,2025-11-12,40000,12,22.18,457.5
LOAN0000852,APP0001846,CUST001829,2025-12-24,74000,12,16.24,157.9
LOAN0000853,APP0001847,CUST002131,2026-06-21,72000,12,21.64,308.9
LOAN0000854,APP0001852,CUST000298,2026-04-24,88000,24,12.34,145.3
LOAN0000855,APP0001854,CUST001018,2026-03-14,77000,36,17.69,301.9
LOAN0000856,APP0001857,CUST001677,2026-02-18,95000,18,19.36,268.0
LOAN0000857,APP0001858,CUST000448,2025-11-13,70000,36,19.71,263.7
LOAN0000858,APP0001859,CUST002077,2025-10-26,268000,9,20.26,288.5
LOAN0000859,APP0001860,CUST000511,2025-11-14,178000,12,17.29,166.5
LOAN0000860,APP0001861,CUST002246,2025-08-19,38000,18,13.32,136.6
LOAN0000861,APP0001863,CUST002213,2025-09-17,104000,18,20.14,314.1
LOAN0000862,APP0001864,CUST002413,2026-06-05,90000,12,16.4,137.3
LOAN0000863,APP0001865,CUST000098,2025-08-07,299000,18,17.74,262.1
LOAN0000864,APP0001871,CUST000580,2026-06-05,63000,6,19.5,305.3
LOAN0000865,APP0001876,CUST000092,2026-03-10,45000,18,16.05,151.7
LOAN0000866,APP0001879,CUST000322,2025-09-17,78000,12,17.59,237.2
LOAN0000867,APP0001884,CUST000216,2026-05-10,57000,24,17.42,243.3
LOAN0000868,APP0001887,CUST000836,2025-10-27,124000,18,13.91,78.1
LOAN0000869,APP0001888,CUST000559,2025-12-26,72000,18,18.61,291.6
LOAN0000870,APP0001889,CUST000686,2025-08-26,61000,18,11.77,56.8
LOAN0000871,APP0001891,CUST002206,2025-10-24,93000,12,18.6,252.8
LOAN0000872,APP0001892,CUST000175,2025-10-21,43000,18,17.22,186.6
LOAN0000873,APP0001893,CUST001337,2026-06-17,197000,24,17.96,310.2
LOAN0000874,APP0001895,CUST001945,2026-03-08,120000,12,19.43,282.1
LOAN0000875,APP0001896,CUST001482,2026-04-14,59000,24,20.21,344.9
LOAN0000876,APP0001899,CUST000999,2026-04-04,30000,6,21.24,414.5
LOAN0000877,APP0001901,CUST002103,2026-03-20,57000,6,15.3,212.6
LOAN0000878,APP0001902,CUST001520,2026-04-21,128000,24,15.18,174.8
LOAN0000879,APP0001904,CUST000672,2025-12-15,153000,18,18.35,237.8
LOAN0000880,APP0001905,CUST001923,2025-08-11,82000,9,18.35,230.6
LOAN0000881,APP0001906,CUST000261,2025-12-14,44000,24,17.95,262.5
LOAN0000882,APP0001909,CUST001973,2026-04-08,30000,18,13.81,105.2
LOAN0000883,APP0001910,CUST002286,2026-03-20,35000,12,16.75,257.6
LOAN0000884,APP0001913,CUST000418,2025-12-14,210000,18,17.56,240.1
LOAN0000885,APP0001915,CUST000850,2025-10-27,35000,24,16.29,226.2
LOAN0000886,APP0001916,CUST000041,2025-11-25,45000,12,23.81,477.3
LOAN0000887,APP0001919,CUST002048,2026-06-12,39000,12,14.94,107.9
LOAN0000888,APP0001927,CUST000996,2026-04-20,108000,24,20.8,350.0
LOAN0000889,APP0001930,CUST001818,2025-08-17,43000,18,18.13,250.0
LOAN0000890,APP0001932,CUST001433,2025-11-28,35000,24,13.35,50.6
LOAN0000891,APP0001933,CUST002481,2025-12-25,98000,36,15.44,192.0
LOAN0000892,APP0001935,CUST001349,2025-12-25,45000,36,15.42,142.1
LOAN0000893,APP0001936,CUST000066,2026-01-07,27000,12,19.33,255.1
LOAN0000894,APP0001939,CUST000698,2026-03-22,53000,18,18.87,241.5
LOAN0000895,APP0001940,CUST001034,2026-01-25,77000,18,20.87,271.1
LOAN0000896,APP0001941,CUST001692,2025-10-14,9000,18,14.18,110.2
LOAN0000897,APP0001947,CUST000655,2026-04-17,56000,12,22.32,332.5
LOAN0000898,APP0001948,CUST002323,2025-10-03,51000,9,19.71,278.3
LOAN0000899,APP0001949,CUST002238,2025-10-21,107000,24,14.85,191.4
LOAN0000900,APP0001950,CUST000178,2025-08-19,45000,9,17.18,251.4
LOAN0000901,APP0001954,CUST000481,2025-10-30,66000,36,16.63,207.2
LOAN0000902,APP0001955,CUST000008,2026-03-13,131000,18,17.42,256.1
LOAN0000903,APP0001956,CUST000044,2026-04-10,71000,24,21.85,366.7
LOAN0000904,APP0001957,CUST001054,2025-09-06,111000,6,17.65,219.0
LOAN0000905,APP0001962,CUST001275,2025-12-02,170000,12,17.31,225.8
LOAN0000906,APP0001963,CUST001636,2025-07-25,47000,24,18.05,256.4
LOAN0000907,APP0001964,CUST000552,2026-05-08,68000,12,16.81,227.7
LOAN0000908,APP0001966,CUST001961,2026-02-20,28000,24,18.24,251.0
LOAN0000909,APP0001967,CUST002068,2026-03-03,162000,36,17.62,248.0
LOAN0000910,APP0001972,CUST001589,2026-05-29,300000,12,18.33,299.6
LOAN0000911,APP0001975,CUST000383,2025-10-19,109000,36,17.75,204.2
LOAN0000912,APP0001978,CUST002203,2026-05-19,41000,18,16.98,155.8
LOAN0000913,APP0001979,CUST001793,2025-07-19,105000,24,18.26,216.6
LOAN0000914,APP0001981,CUST000523,2025-08-30,101000,12,18.75,188.0
LOAN0000915,APP0001982,CUST001302,2025-07-30,123000,12,18.13,303.5
LOAN0000916,APP0001984,CUST001517,2025-12-03,171000,24,17.72,190.9
LOAN0000917,APP0001986,CUST000955,2025-10-31,56000,9,18.27,297.2
LOAN0000918,APP0001991,CUST002008,2025-11-09,100000,6,16.48,221.7
LOAN0000919,APP0001992,CUST000250,2026-04-09,96000,12,18.08,205.5
LOAN0000920,APP0001996,CUST002402,2025-09-07,193000,12,12.1,56.9
LOAN0000921,APP0002006,CUST001340,2026-02-27,155000,24,18.95,256.7
LOAN0000922,APP0002007,CUST001293,2026-02-26,86000,24,18.95,264.7
LOAN0000923,APP0002009,CUST001520,2025-11-04,93000,12,16.97,188.3
LOAN0000924,APP0002010,CUST000365,2026-03-31,82000,6,18.76,283.9
LOAN0000925,APP0002015,CUST001964,2025-11-17,123000,24,16.91,218.0
LOAN0000926,APP0002017,CUST001089,2025-10-05,157000,12,16.48,266.8
LOAN0000927,APP0002018,CUST001870,2026-03-01,74000,24,16.54,155.5
LOAN0000928,APP0002020,CUST001601,2026-04-20,64000,18,19.18,311.9
LOAN0000929,APP0002021,CUST001163,2026-06-08,78000,12,17.82,237.0
LOAN0000930,APP0002022,CUST001888,2025-11-28,98000,9,16.2,261.7
LOAN0000931,APP0002023,CUST000907,2026-05-23,87000,12,14.02,118.4
LOAN0000932,APP0002024,CUST000210,2026-03-13,81000,36,16.79,193.4
LOAN0000933,APP0002026,CUST001166,2025-11-01,93000,18,17.78,206.0
LOAN0000934,APP0002028,CUST001810,2026-04-23,66000,24,20.36,315.5
LOAN0000935,APP0002030,CUST000778,2026-03-07,112000,12,17.53,206.4
LOAN0000936,APP0002031,CUST000289,2025-12-06,98000,18,20.67,322.4
LOAN0000937,APP0002032,CUST001177,2025-12-16,118000,12,16.14,195.0
LOAN0000938,APP0002033,CUST000854,2025-10-31,77000,18,21.0,319.7
LOAN0000939,APP0002038,CUST002386,2026-04-08,147000,12,18.14,203.1
LOAN0000940,APP0002039,CUST000606,2025-07-16,157000,12,21.19,259.2
LOAN0000941,APP0002040,CUST002315,2025-11-26,58000,12,17.08,268.4
LOAN0000942,APP0002043,CUST001640,2025-12-07,43000,9,20.87,279.7
LOAN0000943,APP0002044,CUST001288,2026-04-14,109000,12,15.51,223.9
LOAN0000944,APP0002047,CUST000273,2025-12-04,66000,36,18.99,265.8
LOAN0000945,APP0002049,CUST000482,2026-05-23,61000,9,16.62,178.6
LOAN0000946,APP0002050,CUST000014,2025-10-27,77000,24,18.22,240.9
LOAN0000947,APP0002052,CUST000983,2026-03-09,121000,12,20.97,260.0
LOAN0000948,APP0002054,CUST001965,2025-09-16,51000,18,19.65,255.9
LOAN0000949,APP0002055,CUST001265,2026-03-06,37000,24,16.3,139.8
LOAN0000950,APP0002058,CUST001696,2025-10-08,122000,24,17.57,179.6
LOAN0000951,APP0002059,CUST001517,2026-01-22,149000,18,15.65,214.4
LOAN0000952,APP0002060,CUST002445,2026-01-26,248000,9,18.54,228.2
LOAN0000953,APP0002061,CUST001224,2026-06-02,157000,9,17.0,203.3
LOAN0000954,APP0002062,CUST002063,2026-01-09,65000,18,16.54,188.7
LOAN0000955,APP0002064,CUST000507,2026-02-10,73000,6,19.26,277.3
LOAN0000956,APP0002066,CUST001474,2026-04-02,59000,12,15.91,208.9
LOAN0000957,APP0002067,CUST000526,2025-10-18,79000,36,19.47,238.4
LOAN0000958,APP0002068,CUST002177,2025-08-28,8000,12,14.97,155.5
LOAN0000959,APP0002069,CUST002397,2025-08-22,120000,9,17.55,218.7
LOAN0000960,APP0002071,CUST001225,2025-12-04,205000,12,17.73,219.7
LOAN0000961,APP0002073,CUST002059,2026-01-07,125000,36,18.54,267.5
LOAN0000962,APP0002075,CUST002370,2025-07-06,91000,9,21.64,311.5
LOAN0000963,APP0002081,CUST002188,2025-10-23,180000,9,21.76,391.0
LOAN0000964,APP0002082,CUST002163,2025-09-18,119000,24,19.47,255.4
LOAN0000965,APP0002083,CUST000065,2026-02-13,84000,12,15.83,153.2
LOAN0000966,APP0002086,CUST001878,2026-06-30,109000,18,22.54,396.8
LOAN0000967,APP0002087,CUST000203,2025-08-30,112000,18,20.93,304.3
LOAN0000968,APP0002088,CUST001968,2026-01-23,66000,18,18.54,309.9
LOAN0000969,APP0002091,CUST000392,2026-01-19,118000,18,14.17,154.9
LOAN0000970,APP0002092,CUST000223,2025-10-11,39000,18,16.62,153.9
LOAN0000971,APP0002094,CUST000334,2026-05-05,188000,6,18.32,261.8
LOAN0000972,APP0002095,CUST002052,2026-04-12,46000,12,16.77,237.5
LOAN0000973,APP0002096,CUST001571,2026-05-29,59000,12,19.85,249.9
LOAN0000974,APP0002097,CUST000631,2025-09-01,31000,6,15.14,127.1
LOAN0000975,APP0002100,CUST001588,2026-02-08,120000,36,13.42,123.2
LOAN0000976,APP0002103,CUST002072,2026-06-27,20000,12,17.5,272.0
LOAN0000977,APP0002105,CUST002366,2026-03-20,86000,36,19.19,234.8
LOAN0000978,APP0002106,CUST000113,2026-06-28,74000,18,19.18,305.2
LOAN0000979,APP0002108,CUST002460,2025-07-30,175000,12,18.53,282.6
LOAN0000980,APP0002110,CUST000882,2026-05-11,80000,6,19.9,294.1
LOAN0000981,APP0002111,CUST000502,2026-04-24,54000,36,18.89,257.3
LOAN0000982,APP0002115,CUST000085,2025-07-29,88000,36,18.21,246.8
LOAN0000983,APP0002121,CUST001840,2026-04-13,57000,24,16.96,259.6
LOAN0000984,APP0002122,CUST002072,2025-11-21,47000,18,16.17,222.0
LOAN0000985,APP0002124,CUST000396,2025-08-24,35000,24,16.98,240.3
LOAN0000986,APP0002125,CUST000262,2025-07-11,63000,36,15.94,201.9
LOAN0000987,APP0002129,CUST002048,2026-04-13,76000,9,14.79,162.9
LOAN0000988,APP0002131,CUST001224,2026-04-23,65000,9,17.51,184.4
LOAN0000989,APP0002133,CUST002366,2026-02-06,47000,9,17.83,246.6
LOAN0000990,APP0002134,CUST000520,2025-10-29,82000,18,17.85,216.8
LOAN0000991,APP0002136,CUST001785,2025-07-26,100000,6,15.46,172.2
LOAN0000992,APP0002137,CUST000161,2025-11-07,82000,24,20.3,356.5
LOAN0000993,APP0002138,CUST000267,2026-06-10,115000,36,15.79,200.8
LOAN0000994,APP0002139,CUST001294,2025-12-12,206000,24,16.1,165.8
LOAN0000995,APP0002140,CUST001900,2025-11-13,49000,24,16.93,160.8
LOAN0000996,APP0002141,CUST000372,2025-11-01,79000,6,18.59,259.1
LOAN0000997,APP0002143,CUST001904,2025-11-19,81000,12,20.44,260.6
LOAN0000998,APP0002144,CUST000817,2026-06-09,12000,12,18.08,239.5
LOAN0000999,APP0002145,CUST000117,2025-10-19,105000,24,17.96,223.5
LOAN0001000,APP0002146,CUST000865,2026-02-03,67000,18,18.29,285.7
LOAN0001001,APP0002147,CUST000839,2025-11-08,55000,9,17.64,274.3
LOAN0001002,APP0002149,CUST001776,2026-01-20,68000,12,19.8,289.3
LOAN0001003,APP0002150,CUST002352,2026-01-22,62000,12,19.6,267.6
LOAN0001004,APP0002152,CUST001591,2026-01-23,51000,36,15.6,193.8
LOAN0001005,APP0002154,CUST001735,2025-10-19,114000,36,16.47,225.3
LOAN0001006,APP0002155,CUST002066,2025-09-28,87000,24,17.49,166.9
LOAN0001007,APP0002156,CUST000174,2026-06-08,32000,12,18.49,278.2
LOAN0001008,APP0002157,CUST002138,2026-05-20,30000,12,17.23,260.5
LOAN0001009,APP0002160,CUST000734,2026-01-07,100000,36,18.04,199.9
LOAN0001010,APP0002163,CUST001690,2025-12-26,78000,12,18.0,240.5
LOAN0001011,APP0002164,CUST000946,2025-12-06,68000,9,19.21,243.4
LOAN0001012,APP0002167,CUST001270,2026-01-07,160000,24,17.66,234.4
LOAN0001013,APP0002168,CUST000549,2026-04-11,109000,18,21.29,368.5
LOAN0001014,APP0002169,CUST000175,2025-08-11,85000,18,15.48,149.8
LOAN0001015,APP0002170,CUST000352,2026-06-27,58000,12,17.48,272.2
LOAN0001016,APP0002172,CUST001542,2026-02-25,35000,18,18.25,300.7
LOAN0001017,APP0002174,CUST000897,2025-11-26,70000,12,16.78,242.8
LOAN0001018,APP0002177,CUST000442,2026-06-29,78000,36,19.62,251.6
LOAN0001019,APP0002181,CUST000571,2025-09-13,146000,24,19.19,277.0
LOAN0001020,APP0002183,CUST001575,2025-10-22,69000,12,19.66,328.7
LOAN0001021,APP0002184,CUST000485,2026-05-28,81000,9,17.55,214.6
LOAN0001022,APP0002185,CUST000776,2025-10-04,48000,18,13.08,148.6
LOAN0001023,APP0002187,CUST000310,2026-02-21,44000,24,19.79,303.6
LOAN0001024,APP0002189,CUST000836,2026-05-13,126000,18,13.3,133.6
LOAN0001025,APP0002193,CUST001406,2026-05-12,47000,12,16.86,153.6
LOAN0001026,APP0002194,CUST001571,2025-11-14,64000,36,20.94,244.8
LOAN0001027,APP0002197,CUST000407,2026-04-09,147000,24,18.03,215.7
LOAN0001028,APP0002199,CUST001433,2026-05-22,50000,12,12.04,50.0
LOAN0001029,APP0002200,CUST001174,2026-03-17,96000,24,15.9,204.1
LOAN0001030,APP0002201,CUST000627,2025-12-28,82000,12,18.25,237.6
LOAN0001031,APP0002202,CUST001304,2026-02-09,136000,12,18.04,278.1
LOAN0001032,APP0002203,CUST001519,2026-02-19,60000,24,19.36,260.0
LOAN0001033,APP0002205,CUST001960,2026-02-09,81000,12,19.32,230.9
LOAN0001034,APP0002207,CUST001039,2026-01-25,169000,36,17.4,271.9
LOAN0001035,APP0002208,CUST001337,2026-04-08,231000,12,19.29,264.8
LOAN0001036,APP0002209,CUST000193,2025-08-26,234000,6,19.3,319.4
LOAN0001037,APP0002211,CUST002192,2026-05-18,74000,24,17.24,232.3
LOAN0001038,APP0002212,CUST002010,2025-12-08,82000,18,17.65,252.7
LOAN0001039,APP0002213,CUST001127,2025-12-16,60000,18,15.06,165.0
LOAN0001040,APP0002214,CUST001800,2026-06-21,27000,36,18.19,247.7
LOAN0001041,APP0002217,CUST000077,2026-01-05,79000,18,20.32,318.9
LOAN0001042,APP0002218,CUST000062,2026-02-04,95000,12,16.71,223.8
LOAN0001043,APP0002219,CUST002196,2025-07-21,28000,18,14.23,86.2
LOAN0001044,APP0002220,CUST001069,2026-02-08,54000,24,17.72,225.7
LOAN0001045,APP0002221,CUST001265,2026-03-02,65000,18,15.21,128.5
LOAN0001046,APP0002222,CUST000356,2026-04-27,80000,24,19.74,184.9
LOAN0001047,APP0002225,CUST001478,2026-04-14,161000,9,18.64,236.9
LOAN0001048,APP0002228,CUST002399,2026-04-03,93000,24,18.71,194.4
LOAN0001049,APP0002231,CUST002295,2025-11-07,56000,12,15.52,179.2
LOAN0001050,APP0002234,CUST000059,2025-07-11,32000,9,18.09,174.1
LOAN0001051,APP0002235,CUST001160,2025-07-08,115000,18,15.86,241.8
LOAN0001052,APP0002238,CUST001021,2025-08-01,74000,12,17.51,204.2
LOAN0001053,APP0002239,CUST000289,2025-09-06,31000,12,19.25,353.6
LOAN0001054,APP0002240,CUST001912,2026-03-09,40000,12,17.22,164.1
LOAN0001055,APP0002242,CUST002060,2025-07-09,106000,12,18.47,281.6
LOAN0001056,APP0002243,CUST002403,2026-05-28,38000,12,19.03,311.9
LOAN0001057,APP0002244,CUST002256,2025-12-23,201000,9,16.85,229.8
LOAN0001058,APP0002247,CUST001810,2025-12-09,62000,12,21.49,319.8
LOAN0001059,APP0002249,CUST000880,2025-08-27,92000,9,17.55,262.5
LOAN0001060,APP0002250,CUST000294,2026-04-25,73000,24,17.67,239.0
LOAN0001061,APP0002253,CUST000843,2025-10-29,164000,36,15.39,135.4
LOAN0001062,APP0002254,CUST000715,2026-01-07,59000,9,18.46,242.4
LOAN0001063,APP0002258,CUST001623,2025-11-27,76000,9,18.33,208.6
LOAN0001064,APP0002260,CUST002357,2026-03-09,44000,12,17.52,260.3
LOAN0001065,APP0002261,CUST000551,2025-09-02,42000,12,20.96,304.6
LOAN0001066,APP0002266,CUST000364,2025-09-16,96000,12,18.98,284.5
LOAN0001067,APP0002269,CUST001042,2025-12-10,62000,12,18.19,270.8
LOAN0001068,APP0002270,CUST002010,2026-04-28,132000,24,16.15,218.6
LOAN0001069,APP0002271,CUST001362,2026-03-04,85000,12,22.93,398.5
LOAN0001070,APP0002272,CUST000753,2026-02-14,25000,9,18.67,237.2
LOAN0001071,APP0002273,CUST000555,2025-12-08,83000,12,21.73,330.6
LOAN0001072,APP0002277,CUST000770,2026-04-17,77000,12,18.17,201.4
LOAN0001073,APP0002281,CUST002203,2026-02-19,166000,12,14.42,144.9
LOAN0001074,APP0002282,CUST001076,2026-03-24,117000,12,17.38,252.6
LOAN0001075,APP0002283,CUST000050,2025-07-20,60000,24,15.28,218.0
LOAN0001076,APP0002286,CUST002360,2025-08-08,71000,12,16.54,174.5
LOAN0001077,APP0002288,CUST000691,2025-10-05,95000,9,19.92,305.2
LOAN0001078,APP0002289,CUST001804,2026-05-11,38000,18,15.7,140.1
LOAN0001079,APP0002290,CUST002228,2025-08-14,85000,9,16.5,191.9
LOAN0001080,APP0002292,CUST001899,2025-11-03,86000,12,16.04,174.2
LOAN0001081,APP0002294,CUST001895,2026-02-14,28000,18,17.7,229.1
LOAN0001082,APP0002295,CUST001046,2026-05-16,65000,18,17.18,228.9
LOAN0001083,APP0002296,CUST002006,2026-05-15,223000,18,15.76,209.0
LOAN0001084,APP0002298,CUST002263,2026-01-31,35000,18,16.38,192.5
LOAN0001085,APP0002299,CUST001297,2026-04-02,76000,9,16.76,217.3
LOAN0001086,APP0002302,CUST001163,2026-03-09,168000,6,19.12,238.5
LOAN0001087,APP0002306,CUST000356,2026-06-24,270000,24,16.04,168.5
LOAN0001088,APP0002308,CUST000390,2025-08-10,98000,12,19.83,329.1
LOAN0001089,APP0002310,CUST000292,2025-11-29,75000,18,18.06,286.9
LOAN0001090,APP0002313,CUST001214,2025-11-09,76000,12,17.98,245.8
LOAN0001091,APP0002315,CUST001616,2025-10-27,61000,9,17.25,240.2
LOAN0001092,APP0002316,CUST001488,2026-05-14,105000,18,16.73,164.8
LOAN0001093,APP0002317,CUST001216,2025-08-22,106000,6,18.5,205.6
LOAN0001094,APP0002322,CUST002340,2026-04-19,107000,6,16.23,176.5
LOAN0001095,APP0002324,CUST000366,2025-11-27,82000,12,15.94,130.5
LOAN0001096,APP0002325,CUST000302,2025-07-28,44000,24,16.18,228.9
LOAN0001097,APP0002327,CUST001640,2026-02-18,101000,18,16.7,252.5
LOAN0001098,APP0002328,CUST001553,2025-09-07,107000,12,19.67,303.3
LOAN0001099,APP0002331,CUST000054,2026-05-16,191000,12,18.91,288.0
LOAN0001100,APP0002332,CUST001071,2026-02-08,106000,24,21.67,355.8
LOAN0001101,APP0002333,CUST000296,2026-02-14,73000,12,23.1,405.4
LOAN0001102,APP0002334,CUST001297,2026-03-08,164000,24,15.6,229.4
LOAN0001103,APP0002335,CUST001163,2025-11-16,88000,24,20.67,246.1
LOAN0001104,APP0002337,CUST002171,2025-09-20,60000,6,18.05,211.6
LOAN0001105,APP0002340,CUST000270,2025-07-23,157000,12,18.94,186.4
LOAN0001106,APP0002342,CUST001787,2026-02-08,79000,18,20.35,309.0
LOAN0001107,APP0002344,CUST001276,2026-03-14,86000,24,17.18,204.5
LOAN0001108,APP0002345,CUST002068,2026-04-21,17000,9,16.66,216.6
LOAN0001109,APP0002347,CUST002483,2025-12-05,86000,12,19.39,331.4
LOAN0001110,APP0002349,CUST000576,2025-10-26,83000,18,19.6,307.2
LOAN0001111,APP0002350,CUST001816,2025-12-17,10000,12,19.07,240.1
LOAN0001112,APP0002351,CUST001234,2026-06-05,79000,12,19.2,287.6
LOAN0001113,APP0002353,CUST002042,2026-05-12,106000,6,15.63,202.4
LOAN0001114,APP0002359,CUST001396,2026-04-05,150000,12,19.23,278.6
LOAN0001115,APP0002360,CUST001668,2026-05-09,141000,12,17.49,245.2
LOAN0001116,APP0002361,CUST000578,2026-04-21,89000,9,15.77,173.3
LOAN0001117,APP0002367,CUST001798,2025-11-28,67000,12,19.04,298.4
LOAN0001118,APP0002372,CUST001192,2025-07-21,139000,6,18.57,313.2
LOAN0001119,APP0002374,CUST002456,2025-10-27,121000,12,19.14,230.2
LOAN0001120,APP0002378,CUST000321,2025-12-27,37000,12,19.07,237.7
LOAN0001121,APP0002379,CUST000254,2026-04-23,45000,12,12.81,50.0
LOAN0001122,APP0002380,CUST002012,2026-05-02,39000,12,17.38,212.4
LOAN0001123,APP0002381,CUST002075,2026-05-17,155000,12,17.17,208.6
LOAN0001124,APP0002382,CUST000339,2026-04-20,64000,12,17.73,258.6
LOAN0001125,APP0002384,CUST001572,2026-03-10,117000,6,14.98,126.9
LOAN0001126,APP0002385,CUST001929,2025-10-18,100000,24,16.4,210.9
LOAN0001127,APP0002386,CUST002326,2026-05-27,104000,12,18.39,159.8
LOAN0001128,APP0002387,CUST002067,2025-11-14,70000,24,11.0,50.0
LOAN0001129,APP0002389,CUST000430,2025-10-12,81000,9,17.89,167.0
LOAN0001130,APP0002391,CUST002137,2026-01-09,199000,24,16.2,178.4
LOAN0001131,APP0002392,CUST002089,2026-06-23,56000,24,13.43,103.0
LOAN0001132,APP0002394,CUST000077,2026-07-02,26000,24,20.7,326.6
LOAN0001133,APP0002395,CUST001160,2026-01-02,49000,9,18.52,245.2
LOAN0001134,APP0002399,CUST001790,2026-05-01,118000,18,18.85,260.0
